2024-11-08 11:49:57.676452	https://www.encodeproject.org/report/?type=Experiment&control_type%21=%2A&perturbed=false&assay_title=long+read+RNA-seq&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&biosample_ontology.classification=tissue&biosample_ontology.classification=primary+cell&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR302UOZ/	ENCSR302UOZ	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens renal cortex interstitium tissue male embryo (113 days)	renal cortex interstitium			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF575DVC/,/files/ENCFF769PHC/		ENCBS870OPP	1	1		Homo sapiens	embryonic	113 days												/replicates/50f617ee-7926-43b0-86c1-313ce0ba8e67/				
/experiments/ENCSR966PBL/	ENCSR966PBL	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens testis tissue male embryo	testis			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF073KGZ/,/files/ENCFF145DSD/		ENCBS228NHI	1	1		Homo sapiens	embryonic													/replicates/a870d494-0efb-46e2-a0df-21805faf95ea/				
/experiments/ENCSR394MBR/	ENCSR394MBR	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens heart tissue male embryo (105 days)	heart			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF025IUK/,/files/ENCFF626CBF/		ENCBS777TEG	1	1		Homo sapiens	embryonic	105 days												/replicates/fb67fb38-0817-4cc6-b90d-14577a7cc18b/				
/experiments/ENCSR555RBI/	ENCSR555RBI	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens left kidney tissue female embryo (147 days)	left kidney			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF246SBM/,/files/ENCFF351JDA/		ENCBS276UDX	1	1		Homo sapiens	embryonic	147 days												/replicates/42098705-26e3-4344-88d1-c2614b78ab79/				
/experiments/ENCSR017XQY/	ENCSR017XQY	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens muscle of leg tissue male embryo (113 days)	muscle of leg			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF237YOW/,/files/ENCFF321EZC/		ENCBS869SZX	1	1		Homo sapiens	embryonic	113 days												/replicates/d9c61e97-3d17-4484-93ed-7aacfaf746ec/				
/experiments/ENCSR728RUN/	ENCSR728RUN	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens thymus tissue female embryo (147 days)	thymus			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF890EYO/,/files/ENCFF728DQI/		ENCBS925KXO	1	1		Homo sapiens	embryonic	147 days												/replicates/32adfc62-d4f0-4f3f-af80-d37dc0a85895/				
/experiments/ENCSR959XNI/	ENCSR959XNI	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens spinal cord tissue male embryo (105 days)	spinal cord			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF250VHS/,/files/ENCFF129ZBB/		ENCBS206GZL	1	1		Homo sapiens	embryonic	105 days												/replicates/9e198a3c-d707-4fc9-94e1-81c9c74581ac/				
/experiments/ENCSR047HDL/	ENCSR047HDL	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens small intestine tissue female embryo (98 days)	small intestine			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF850OVI/,/files/ENCFF063NSB/		ENCBS137VKQ	1	1		Homo sapiens	embryonic	98 days												/replicates/2fe179be-dc6d-4321-a6cb-f2b245a88f6f/				
/experiments/ENCSR891KDT/	ENCSR891KDT	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens liver tissue embryo	liver			Roderic Guigo, CRG	community	in progress	/files/ENCFF346ZDC/		ENCBS248WUT	1	1		Homo sapiens	embryonic													/replicates/8763a8c5-a7ea-4460-a273-6dadc896cb00/				CapTrap
/experiments/ENCSR170JRH/	ENCSR170JRH	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens heart tissue male adult	heart			Roderic Guigo, CRG	community	in progress	/files/ENCFF597BZE/		ENCBS610YHV	1	1		Homo sapiens	adult													/replicates/5edf48bc-0f54-450c-8731-e53094c3eb00/				CapTrap
/experiments/ENCSR174AAK/	ENCSR174AAK	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens muscle of leg tissue female embryo (113 days)	muscle of leg			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF767MKK/,/files/ENCFF611PSE/		ENCBS879TMF	1	1		Homo sapiens	embryonic	113 days												/replicates/8318d7f7-3b55-4603-83fc-d7512c250c25/				
